,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.0011508000000048924,18.0,0.0,25,4096,0
1,1,0.020200000000045293,18.0,1.0,25,4096,0
2,1,0.020200000000045293,23.0,2.0,25,4096,1
3,1,0.020200000000045293,18.0,3.0,25,4096,2
4,1,0.020200000000045293,22.0,5.0,25,4096,3
5,1,0.020200000000045293,32.0,6.0,25,4096,4
6,1,0.020200000000045293,24.0,7.0,25,4096,5
7,1,0.020200000000045293,25.0,9.0,25,4096,6
8,1,0.020200000000045293,21.0,10.0,25,4096,7
9,1,0.020200000000045293,23.0,11.0,25,4096,8
10,1,0.020200000000045293,18.0,13.0,25,4096,9
11,1,0.020200000000045293,18.0,14.0,25,4096,10
12,1,0.020200000000045293,24.0,15.0,25,4096,11
13,1,0.020200000000045293,18.0,16.0,25,4096,12
14,1,0.020200000000045293,29.0,17.0,25,4096,13
15,1,0.020200000000045293,24.0,18.0,25,4096,14
16,1,0.020200000000045293,27.0,19.0,25,4096,15
17,1,0.020200000000045293,23.0,20.0,25,4096,16
18,1,0.020200000000045293,28.0,21.0,25,4096,17
19,1,0.020200000000045293,28.0,22.0,25,4096,18
20,1,0.020200000000045293,20.0,23.0,25,4096,19
21,1,0.020200000000045293,23.0,24.0,25,4096,20
22,1,0.020200000000045293,23.0,25.0,25,4096,21
23,1,0.020200000000045293,23.0,26.0,25,4096,22
24,1,0.020200000000045293,25.0,27.0,25,4096,23
25,1,0.020200000000045293,20.0,29.0,25,4096,24
26,1,0.020200000000045293,23.0,30.0,25,4096,25
